lga_code_2016,lga_name_2016,did_not_go_to_schoolool_indig_f,did_not_go_to_schoolool_indig_m,did_not_go_to_school_non_indig_f,did_not_go_to_school_non_indig_m,did_not_go_to_school_indig_stat_notstated_f,did_not_go_to_school_indig_stat_notstated_m,y8_below_indig_f,y8_below_indig_m,y8_below_non_indig_f,y8_below_non_indig_m,y8_below_indig_stat_notstated_f,y8_below_indig_stat_notstated_m,y10_equiv_indig_f,y10_equiv_indig_m,y10_equiv_non_indig_f,y10_equiv_non_indig_m,y10_equiv_indig_stat_notstated_f,y10_equiv_indig_stat_notstated_m,y12_equiv_indig_f,y12_equiv_indig_m,y12_equiv_non_indig_f,y12_equiv_non_indig_m,y12_equiv_indig_stat_notstated_f,y12_equiv_indig_stat_notstated_m
22490,Golden Plains,0,3,12,12,0,0,3,3,301,442,3,4,14,12,1253,1812,14,13,21,11,3753,2883,35,30
22620,Greater Bendigo,4,8,222,245,0,0,44,58,2531,2359,57,43,127,128,7482,8130,76,90,193,154,20122,15827,143,116
22670,Greater Dandenong,0,3,3403,2979,23,25,18,17,6111,4855,69,55,31,42,5783,6564,61,61,64,42,31279,33255,173,230
22750,Greater Geelong,5,10,617,526,11,15,59,51,5742,4564,91,76,142,157,13762,13984,144,125,311,211,47234,39727,286,244
25060,Moonee Valley,0,0,863,505,3,6,7,8,3462,2361,41,22,20,22,3906,3974,44,39,89,88,30713,27826,155,139
25150,Moorabool,0,0,24,42,3,3,3,3,581,619,15,10,21,40,1963,2532,24,22,40,34,5773,4445,39,26
25250,Moreland,0,3,1534,972,14,6,9,11,5895,4125,72,49,37,43,4429,5173,48,66,195,156,44295,41334,195,190
25340,Mornington Peninsula,3,7,206,245,5,0,26,26,3072,2429,55,35,82,92,10258,10873,100,119,187,151,31734,26579,209,175
25430,Mount Alexander,0,0,17,17,0,0,4,3,367,342,10,3,12,16,1070,1216,10,22,20,17,3752,3019,36,27
25490,Moyne,0,0,11,18,0,0,6,8,330,432,7,4,18,10,923,1239,11,13,15,13,2859,2032,28,23
25620,Murrindindi,0,0,14,25,0,0,4,10,272,355,8,8,6,17,953,1266,16,14,29,16,2366,1836,24,15
25710,Nillumbik,0,0,60,58,0,3,0,0,587,490,5,7,17,15,2454,3039,20,20,44,39,15329,13530,94,69
25810,Northern Grampians,0,0,36,52,0,0,11,6,378,402,3,12,13,11,857,910,13,17,14,8,1720,1405,20,13
25900,Port Phillip,3,3,246,177,0,0,3,15,1060,872,19,15,18,35,2204,2506,24,24,112,88,32846,30137,134,114
25990,Pyrenees,0,0,0,12,0,0,0,8,194,238,3,8,4,11,503,632,0,4,14,10,1006,758,9,5
22310,Glen Eira,0,0,388,305,5,8,6,0,2243,1548,28,11,13,9,3565,3488,26,19,60,53,42523,38751,173,146
26080,Queenscliffe,0,0,3,3,0,0,0,0,35,37,3,0,0,0,156,137,0,3,3,0,724,601,3,4
26170,South Gippsland,0,0,41,24,0,0,8,10,659,745,11,14,16,25,2003,2418,16,18,28,27,4784,3403,27,29
26260,Southern Grampians,0,3,17,27,0,0,12,5,470,457,8,5,13,12,1068,1277,13,18,19,8,2668,1974,20,14
26350,Stonnington,0,3,298,167,3,0,3,8,1136,758,18,9,5,17,2011,1762,20,20,76,92,35840,32276,138,107
26430,Strathbogie,0,0,6,11,0,0,0,5,276,321,4,4,8,15,777,909,11,16,7,12,1745,1295,11,20
26490,Surf Coast,0,0,26,17,3,0,0,3,312,316,4,3,8,10,1235,1517,13,14,26,24,6810,5886,44,28
26610,Swan Hill,3,0,100,135,3,8,23,30,551,636,16,11,55,56,1259,1514,17,30,65,50,2856,2249,22,24
26670,Towong,0,0,0,3,0,0,3,4,131,195,0,10,12,4,496,599,3,6,10,3,876,702,11,4
26700,Wangaratta,0,0,43,39,0,0,7,9,744,705,15,19,29,19,1991,2360,17,35,25,43,4824,3618,34,26
26730,Warrnambool,8,5,32,51,0,0,15,10,839,750,16,8,32,41,2034,2220,20,17,38,51,6201,4849,34,35
26810,Wellington,0,3,66,62,0,0,11,18,969,1169,17,17,48,40,3033,3625,32,34,62,49,6588,4958,48,43
26890,West Wimmera,0,0,3,7,0,0,5,0,98,146,3,3,0,0,287,372,3,0,0,0,603,428,9,8
26980,Whitehorse,7,8,919,631,14,5,6,7,3177,1983,40,36,28,17,5264,4716,60,35,64,56,46372,43034,186,167
27070,Whittlesea,4,7,1648,1172,29,10,40,29,6366,4997,98,76,100,108,8128,9429,76,83,236,143,43023,39418,230,220
27170,Wodonga,5,4,72,87,0,0,24,25,723,696,20,13,84,80,3127,3387,29,31,100,68,6613,5515,30,32
27260,Wyndham,3,10,1088,738,10,5,19,34,3644,2870,32,19,115,104,8776,9990,64,83,200,140,48286,45150,213,187
27350,Yarra,4,3,632,301,9,6,14,13,1432,863,14,16,15,23,1387,1679,16,8,92,90,29041,27026,122,125
27450,Yarra Ranges,0,3,224,248,3,3,29,38,2267,2197,49,40,100,117,8719,11016,79,104,180,123,31046,25081,191,152
27630,Yarriambiack,0,0,16,9,3,0,7,6,228,277,8,3,4,10,475,566,15,3,4,11,860,687,8,10
29399,Unincorporated Vic,0,0,3,0,0,0,0,0,0,13,0,0,0,0,16,36,0,0,3,3,191,187,3,0
30250,Aurukun,3,9,0,3,0,0,95,122,0,0,0,0,149,132,12,13,0,0,57,37,15,34,0,0
